rango,nodo,pagerank,in_degree,out_degree
1,94,5.8651309743e-03,6,5
2,325,4.6224117791e-03,12,5
3,557,4.6069734576e-03,10,5
4,529,4.5947563416e-03,10,1
5,274,4.3496483452e-03,7,5
6,132,4.2479582850e-03,10,7
7,15,3.9877632667e-03,9,3
8,146,3.9519270359e-03,8,4
9,50,3.9493308766e-03,8,5
10,348,3.9471908450e-03,12,5
11,33,3.9346701415e-03,9,6
12,428,3.8433646835e-03,11,3
13,568,3.7373099005e-03,11,3
14,251,3.7265849669e-03,7,3
15,72,3.7230012761e-03,8,4
16,591,3.6835887483e-03,9,7
17,586,3.6442046321e-03,8,2
18,150,3.6283192547e-03,9,9
19,134,3.6232258940e-03,11,5
20,564,3.5500191425e-03,4,3
